season,round,round_num,team1,team2,seed1,seed2,seed_diff,seed_sum,seed_diff_sq,abs_seed_diff,higher_seed_is_team1,round_x_seeddiff,is_upset_seed,seed1_sq,seed2_sq,seed_product,log_seed_ratio,target,score_diff,SRS_diff,SOS_diff,eFG%_diff,TOV%_diff,SRS_sum,AdjOE_diff,AdjDE_diff,Barthag_diff,AdjTempo_diff,WAB_diff,AdjOE_avg,OE_vs_DE_1,OE_vs_DE_2,AdjDE_avg,AdjTempo_avg,ORtg_diff,Pace_diff,ORB%_diff,Pace_avg,ORtg_avg
2003,R64,1,Oklahoma State,Penn,6.0,11.0,-5.0,17.0,25.0,5.0,1,-5.0,0,36.0,121.0,66.0,0.6061358035703155,1,14.0,6.18,9.91,-0.062000000000000055,0.1999999999999993,23.06,,,,,,,,,,,,,,,
2003,R64,1,Syracuse,Manhattan,3.0,14.0,-11.0,17.0,121.0,11.0,1,-11.0,0,9.0,196.0,42.0,1.540445040947149,1,11.0,13.239999999999998,11.01,0.02400000000000002,-0.6999999999999993,24.8,,,,,,,,,,,,,,,
2003,R64,1,Saint Joseph's,Auburn,7.0,10.0,-3.0,17.0,9.0,3.0,1,-3.0,0,49.0,100.0,70.0,0.3566749439387324,0,-2.0,1.9299999999999997,-4.64,-0.0010000000000000009,-2.900000000000002,27.29,,,,,,,,,,,,,,,
2003,R64,1,Wake Forest,ETSU,2.0,15.0,-13.0,17.0,169.0,13.0,1,-13.0,0,4.0,225.0,30.0,2.0149030205422647,1,3.0,,,,,,,,,,,,,,,,,,,,
2003,R32,2,Oklahoma,California,1.0,8.0,-7.0,9.0,49.0,7.0,1,-14.0,0,1.0,64.0,8.0,2.0794415416798357,1,9.0,7.08,0.9499999999999993,-0.008000000000000007,-1.4000000000000021,30.64,,,,,,,,,,,,,,,
2003,R32,2,Butler,Louisville,12.0,4.0,8.0,16.0,64.0,8.0,0,16.0,1,144.0,16.0,48.0,-1.0986122886681098,1,8.0,-10.7,-4.6,0.026000000000000023,0.09999999999999964,28.919999999999998,,,,,,,,,,,,,,,
2003,R32,2,Oklahoma State,Syracuse,6.0,3.0,3.0,9.0,9.0,3.0,0,6.0,1,36.0,9.0,18.0,-0.6931471805599453,0,-12.0,-4.4,-0.5599999999999987,-0.027000000000000024,1.8999999999999986,33.64,,,,,,,,,,,,,,,
2003,R32,2,Auburn,Wake Forest,10.0,2.0,8.0,12.0,64.0,8.0,0,16.0,1,100.0,4.0,20.0,-1.6094379124341003,1,6.0,-4.280000000000001,1.3899999999999997,0.01100000000000001,1.6000000000000014,29.64,,,,,,,,,,,,,,,
2003,S16,3,Oklahoma,Butler,1.0,12.0,-11.0,13.0,121.0,11.0,1,-33.0,0,1.0,144.0,12.0,2.4849066497880004,1,11.0,9.75,6.289999999999999,-0.04600000000000004,0.09999999999999964,27.97,,,,,,,,,,,,,,,
2003,S16,3,Syracuse,Auburn,3.0,10.0,-7.0,13.0,49.0,7.0,1,-21.0,0,9.0,100.0,30.0,1.2039728043259361,1,1.0,6.34,0.6699999999999999,0.0020000000000000018,-3.3000000000000007,31.7,,,,,,,,,,,,,,,
2003,E8,4,Oklahoma,Syracuse,1.0,3.0,-2.0,4.0,4.0,2.0,1,-8.0,0,1.0,9.0,3.0,1.0986122886681098,0,-16.0,-0.16000000000000014,-0.4900000000000002,-0.007000000000000006,-0.6000000000000014,37.879999999999995,,,,,,,,,,,,,,,
2003,R64,1,Kentucky,IU Indianapolis,1.0,16.0,-15.0,17.0,225.0,15.0,1,-15.0,0,1.0,256.0,16.0,2.772588722239781,1,31.0,,,,,,,,,,,,,,,,,,,,
2003,R64,1,Oregon,Utah,8.0,9.0,-1.0,17.0,1.0,1.0,1,-1.0,0,64.0,81.0,72.0,0.11778303565638346,0,-2.0,3.0500000000000007,0.8600000000000003,0.008000000000000007,-0.1999999999999993,25.05,,,,,,,,,,,,,,,
2003,R64,1,Wisconsin,Weber State,5.0,12.0,-7.0,17.0,49.0,7.0,1,-7.0,0,25.0,144.0,60.0,0.8754687373538999,1,7.0,12.920000000000002,8.52,-0.0020000000000000018,-1.9000000000000021,22.04,,,,,,,,,,,,,,,
2003,R64,1,Dayton,Tulsa,4.0,13.0,-9.0,17.0,81.0,9.0,1,-9.0,0,16.0,169.0,52.0,1.1786549963416462,0,-13.0,0.5899999999999999,2.88,-0.0030000000000000027,-0.8000000000000007,21.41,,,,,,,,,,,,,,,
2003,R64,1,Missouri,Southern Illinois,6.0,11.0,-5.0,17.0,25.0,5.0,1,-5.0,0,36.0,121.0,66.0,0.6061358035703155,1,1.0,6.32,7.78,-0.015000000000000013,1.1999999999999993,23.44,,,,,,,,,,,,,,,
2003,R64,1,Marquette,Holy Cross,3.0,14.0,-11.0,17.0,121.0,11.0,1,-11.0,0,9.0,196.0,42.0,1.540445040947149,1,4.0,11.020000000000001,12.66,0.02200000000000002,-1.4000000000000021,21.54,,,,,,,,,,,,,,,
2003,R64,1,Indiana,Alabama,7.0,10.0,-3.0,17.0,9.0,3.0,1,-3.0,0,49.0,100.0,70.0,0.3566749439387324,1,5.0,-0.7299999999999986,0.41000000000000014,0.018000000000000016,-1.299999999999999,25.990000000000002,,,,,,,,,,,,,,,
2003,R64,1,Pitt,Wagner,2.0,15.0,-13.0,17.0,169.0,13.0,1,-13.0,0,4.0,225.0,30.0,2.0149030205422647,1,26.0,24.81,12.27,0.03399999999999992,0.20000000000000284,18.169999999999998,,,,,,,,,,,,,,,
2003,R32,2,Kentucky,Utah,1.0,9.0,-8.0,10.0,64.0,8.0,1,-16.0,0,1.0,81.0,9.0,2.1972245773362196,1,20.0,11.469999999999999,4.08,0.017000000000000015,-0.8000000000000007,33.47,,,,,,,,,,,,,,,
2003,R32,2,Wisconsin,Tulsa,5.0,13.0,-8.0,18.0,64.0,8.0,1,-16.0,0,25.0,169.0,65.0,0.9555114450274363,1,1.0,7.07,4.22,-0.0020000000000000018,-3.5,27.89,,,,,,,,,,,,,,,
2003,R32,2,Missouri,Marquette,6.0,3.0,3.0,9.0,9.0,3.0,0,6.0,1,36.0,9.0,18.0,-0.6931471805599453,0,-9.0,-1.4000000000000004,2.87,-0.028000000000000025,0.5,31.160000000000004,,,,,,,,,,,,,,,
2003,R32,2,Indiana,Pitt,7.0,2.0,5.0,9.0,25.0,5.0,0,10.0,1,49.0,4.0,14.0,-1.252762968495368,0,-22.0,-8.859999999999998,4.0200000000000005,-0.07099999999999995,-3.5000000000000018,34.12,,,,,,,,,,,,,,,
2003,S16,3,Kentucky,Wisconsin,1.0,5.0,-4.0,6.0,16.0,4.0,1,-12.0,0,1.0,25.0,5.0,1.6094379124341003,1,6.0,4.989999999999998,2.8200000000000003,0.017000000000000015,2.8000000000000007,39.95,,,,,,,,,,,,,,,
2003,S16,3,Marquette,Pitt,3.0,2.0,1.0,5.0,1.0,1.0,0,3.0,1,9.0,4.0,6.0,-0.40546510810816444,1,3.0,-5.209999999999997,1.4900000000000002,-0.028999999999999915,-2.200000000000003,37.769999999999996,,,,,,,,,,,,,,,
2003,E8,4,Kentucky,Marquette,1.0,3.0,-2.0,4.0,4.0,2.0,1,-8.0,0,1.0,9.0,3.0,1.0986122886681098,0,-14.0,6.189999999999998,2.05,0.0020000000000000018,0.6000000000000014,38.75,,,,,,,,,,,,,,,
2003,R64,1,Texas,UNC Asheville,1.0,16.0,-15.0,17.0,225.0,15.0,1,-15.0,0,1.0,256.0,16.0,2.772588722239781,1,21.0,32.1,14.879999999999999,0.0020000000000000018,-4.199999999999999,5.720000000000001,,,,,,,,,,,,,,,
